subject,item,condition,ID,ffd,sfd,gzd,tvt,gpt,skp,rgi,rgo,exp,wordtype,wordtype3,target.freq,relative.freq,word.freq,pred.raw,pred.split,divergence
2,34,1,34.1,426,426,426,426,426,1,0,0,SCA,Target,2,L,T,L,0.5,high,136.5
2,35,2,35.2,395,395,395,395,395,1,0,0,SCA,Homophone,1,L,H,H,0.9,high,136.5
2,36,3,36.3,357,357,357,357,618,1,0,1,SCA,Ortho_control,3,L,H,H,0.4,high,136.5
2,37,1,37.1,310,310,310,310,310,1,0,0,SCA,Target,2,L,T,L,0,low,136.5
2,38,2,38.2,247,247,247,247,247,1,0,0,SCA,Homophone,1,L,L,L,0.9,high,136.5
2,39,3,39.3,281,281,281,281,281,1,0,0,SCA,Ortho_control,3,L,L,L,0.3,low,136.5
2,40,1,40.1,240,240,240,324,240,1,1,0,SCA,Target,2,L,T,L,0.3,low,136.5
2,41,2,41.2,NA,NA,NA,NA,NA,0,0,0,SCA,Homophone,1,L,H,L,0.2,low,136.5
2,42,3,42.3,347,347,347,695,347,1,1,0,SCA,Ortho_control,3,L,H,L,0,low,136.5
2,43,1,43.1,259,259,259,259,259,1,0,0,SCA,Target,2,L,T,L,0.7,high,136.5
2,44,2,44.2,238,238,238,238,238,1,0,0,SCA,Homophone,1,L,L,L,0,low,136.5
2,45,3,45.3,243,243,243,243,243,1,0,0,SCA,Ortho_control,3,L,L,L,0.1,low,136.5
2,47,2,47.2,NA,NA,NA,NA,NA,0,0,0,SCA,Homophone,1,L,H,L,0.1,low,136.5
2,48,3,48.3,433,433,433,614,433,1,1,0,SCA,Ortho_control,3,L,H,L,0,low,136.5
2,49,1,49.1,214,214,214,214,214,1,0,0,SCA,Target,2,L,T,L,0,low,136.5
2,50,2,50.2,171,NA,355,584,1022,1,0,1,SCA,Homophone,1,L,L,L,0.1,low,136.5
2,51,3,51.3,547,547,547,820,547,1,1,0,SCA,Ortho_control,3,L,H,H,0.7,high,136.5
2,52,1,52.1,222,222,222,222,222,1,0,0,SCA,Target,2,H,T,H,1,high,136.5
2,53,2,53.2,357,357,357,523,357,1,1,0,SCA,Homophone,1,H,H,H,0.8,high,136.5
2,54,3,54.3,NA,NA,NA,NA,NA,0,0,0,SCA,Ortho_control,3,H,H,H,1,high,136.5
2,55,1,55.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,L,T,L,0,low,136.5
2,56,2,56.2,245,NA,574,574,574,1,0,0,SCA,Homophone,1,L,L,L,0.1,low,136.5
2,57,3,57.3,175,175,175,175,175,1,0,0,SCA,Ortho_control,3,L,L,L,0,low,136.5
2,58,1,58.1,303,303,303,303,303,1,0,0,SCA,Target,2,L,T,L,0.2,low,136.5
2,59,2,59.2,195,195,195,416,195,1,1,0,SCA,Homophone,1,L,H,H,0.6,high,136.5
2,60,3,60.3,583,583,583,765,673,1,0,1,SCA,Ortho_control,3,L,H,H,0.8,high,136.5
2,61,1,61.1,164,164,164,164,164,1,0,0,SCA,Target,2,H,T,H,0,low,136.5
2,62,2,62.2,NA,NA,NA,183,NA,0,1,0,SCA,Homophone,1,H,L,H,0.9,high,136.5
2,63,3,63.3,414,NA,578,578,578,1,0,0,SCA,Ortho_control,3,H,L,L,0.9,high,136.5
2,64,1,64.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,H,T,H,0.8,high,136.5
2,65,2,65.2,257,257,257,257,257,1,0,0,SCA,Homophone,1,H,H,H,0.5,high,136.5
2,66,3,66.3,422,422,422,422,422,1,0,0,SCA,Ortho_control,3,H,L,L,0.5,high,136.5
2,67,1,67.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,H,T,H,0,low,136.5
2,68,2,68.2,293,293,293,293,293,1,0,0,SCA,Homophone,1,H,L,L,0,low,136.5
2,69,3,69.3,278,278,278,576,278,1,1,0,SCA,Ortho_control,3,H,L,L,0,low,136.5
2,70,1,70.1,274,274,274,274,274,1,0,0,SCA,Target,2,L,T,L,0,low,136.5
2,71,2,71.2,297,NA,523,590,523,1,0,0,SCA,Homophone,1,L,H,H,0,low,136.5
2,72,3,72.3,303,303,303,303,303,1,0,0,SCA,Ortho_control,3,L,H,L,0,low,136.5
2,73,1,73.1,209,209,209,209,209,1,0,0,SCA,Target,2,L,T,L,0.5,high,136.5
2,74,2,74.2,190,190,190,425,190,1,1,0,SCA,Homophone,1,L,L,L,0.4,high,136.5
2,75,3,75.3,335,335,335,335,335,1,0,0,SCA,Ortho_control,3,L,H,H,0.2,low,136.5
2,76,1,76.1,402,402,402,402,402,1,0,0,SCA,Target,2,L,T,L,0.7,high,136.5
2,77,2,77.2,201,NA,518,518,518,1,0,0,SCA,Homophone,1,L,H,H,0.3,low,136.5
2,79,1,79.1,192,192,192,192,192,1,0,0,SCA,Target,2,L,T,L,0.1,low,136.5
2,80,2,80.2,401,401,401,769,401,1,1,0,SCA,Homophone,1,L,L,L,0.8,high,136.5
2,81,3,81.3,150,150,150,569,150,1,1,0,SCA,Ortho_control,3,L,H,H,0.3,low,136.5
2,82,1,82.1,180,180,180,180,180,1,0,0,SCA,Target,2,H,T,H,0.9,high,136.5
2,83,2,83.2,283,283,283,283,283,1,0,0,SCA,Homophone,1,H,H,H,0.1,low,136.5
2,84,3,84.3,306,306,306,575,306,1,1,0,SCA,Ortho_control,3,H,H,H,0,low,136.5
2,85,1,85.1,160,160,160,298,160,1,1,0,SCA,Target,2,H,T,L,0.4,high,136.5
2,86,2,86.2,281,NA,805,805,805,1,0,0,SCA,Homophone,1,H,L,L,0.7,high,136.5
2,87,3,87.3,185,185,185,536,185,1,1,0,SCA,Ortho_control,3,H,L,L,0.3,low,136.5
2,88,1,88.1,281,281,281,281,281,1,0,0,SCA,Target,2,L,T,L,0.4,high,136.5
2,89,2,89.2,123,123,123,123,123,1,0,0,SCA,Homophone,1,L,H,L,0.4,high,136.5
2,90,3,90.3,350,NA,350,621,816,1,0,1,SCA,Ortho_control,3,L,L,L,0.4,high,136.5
2,91,1,91.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,H,T,H,0.3,low,136.5
2,92,2,92.2,223,223,223,223,223,1,0,0,SCA,Homophone,1,H,L,H,0.4,high,136.5
2,93,3,93.3,425,425,425,425,425,1,0,0,SCA,Ortho_control,3,H,H,H,0.2,low,136.5
2,94,1,94.1,259,259,259,259,259,1,0,0,SCA,Target,2,L,T,L,0.9,high,136.5
2,95,2,95.2,199,199,199,199,199,1,0,0,SCA,Homophone,1,L,H,H,0.2,low,136.5
2,96,3,96.3,265,265,265,265,265,1,0,0,SCA,Ortho_control,3,L,L,L,0.2,low,136.5
2,97,1,97.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,H,T,H,0.7,high,136.5
2,98,2,98.2,267,267,267,267,267,1,0,0,SCA,Homophone,1,H,L,L,0.9,high,136.5
2,99,3,99.3,282,282,282,282,282,1,0,0,SCA,Ortho_control,3,H,L,L,0.3,low,136.5
2,100,1,100.1,110,NA,110,363,769,1,0,1,SCA,Target,2,H,T,H,0.9,high,136.5
2,101,2,101.2,189,189,189,189,395,1,0,1,SCA,Homophone,1,H,H,H,0,low,136.5
2,102,3,102.3,216,216,216,630,216,1,1,0,SCA,Ortho_control,3,H,H,H,0.1,low,136.5
2,103,1,103.1,177,177,177,177,177,1,0,0,SCA,Target,2,H,T,H,0.9,high,136.5
2,104,2,104.2,NA,NA,NA,NA,NA,0,0,0,SCA,Homophone,1,H,L,L,1,high,136.5
2,105,3,105.3,176,176,176,521,176,1,1,0,SCA,Ortho_control,3,H,L,L,1,high,136.5
